   JD		  x [m]		  y [m]		  z [m]
   1.2847222e-01  -5.7730033e+03  -3.3112106e+03   4.0082189e+03
   1.2962963e-01  -5.8902626e+03  -3.8360796e+03   3.2940424e+03
   1.3078704e-01  -5.9286268e+03  -4.3082981e+03   2.5378232e+03
   1.3194444e-01  -5.8880434e+03  -4.7217551e+03   1.7501306e+03
   1.3310185e-01  -5.7695728e+03  -5.0712492e+03   9.4183664e+02
   1.3425926e-01  -5.5753407e+03  -5.3525393e+03   1.2394768e+02
   1.3541667e-01  -5.3084779e+03  -5.5623773e+03  -6.9255664e+02
   1.3657407e-01  -4.9730478e+03  -5.6985245e+03  -1.4968749e+03
   1.3773148e-01  -4.5739656e+03  -5.7597532e+03  -2.2785244e+03
   1.3888889e-01  -4.1169110e+03  -5.7458353e+03  -3.0274703e+03
